,Equipe,PDV,Taille,Poids,Unit,Exp,Pays
Precious Achiuwa,TOR,F,2.03,102.1,kg,1,Nigéria
Steven Adams,MEM,C,2.11,120.2,kg,8,Nouvelle_Zélande
Bam Adebayo,MIA,C-F,2.06,115.7,kg,4,États-Unis
Santi Aldama,MEM,F-C,2.11,97.5,kg,0,Espagne
LaMarcus Aldridge,BKN,C-F,2.11,113.4,kg,15,États-Unis
Nickeil Alexander-Walker,NOP,G,1.96,93.0,kg,2,Canada
Grayson Allen,MIL,G,1.93,89.8,kg,3,États-Unis
Jarrett Allen,CLE,C,2.08,110.2,kg,4,États-Unis
Jose Alvarado,NOP,G,1.83,81.2,kg,0,États-Unis
Kyle Anderson,MEM,F-G,2.06,104.3,kg,7,États-Unis
Giannis Antetokounmpo,MIL,F,2.11,109.8,kg,8,Grèce
Thanasis Antetokounmpo,MIL,F,1.98,99.3,kg,3,Grèce
Carmelo Anthony,LAL,F,2.01,108.0,kg,18,États-Unis
Cole Anthony,ORL,G,1.90,83.9,kg,1,États-Unis
OG Anunoby,TOR,F,2.01,105.2,kg,4,United_Kingdom
Trevor Ariza,LAL,F,2.03,97.5,kg,17,États-Unis
D.J. Augustin,HOU,G,1.80,83.0,kg,13,États-Unis
Deni Avdija,WAS,F,2.06,95.3,kg,1,Israël
Joel Ayayi,WAS,G,1.93,81.6,kg,0,France
Deandre Ayton,PHX,C,2.11,113.4,kg,3,Bahamas
Udoka Azubuike,UTA,C-F,2.13,122.5,kg,1,Nigéria
Marvin BagleyIII,SAC,F,2.11,106.6,kg,3,États-Unis
LaMelo Ball,CHA,G,2.01,81.6,kg,1,États-Unis
Lonzo Ball,CHI,G,1.98,86.2,kg,4,États-Unis
Mo Bamba,ORL,C,2.13,104.8,kg,3,États-Unis
Desmond Bane,MEM,G,1.96,97.5,kg,1,États-Unis
Dalano Banton,TOR,F,2.01,92.5,kg,0,Canada
Harrison Barnes,SAC,F,2.03,102.1,kg,9,États-Unis
Scottie Barnes,TOR,F,2.01,102.1,kg,0,États-Unis
RJ Barrett,NYK,F-G,1.98,97.1,kg,2,Canada
Will Barton,DEN,G,1.96,82.1,kg,9,États-Unis
Charles Bassey,PHI,C-F,2.06,104.3,kg,0,Nigéria
Keita Bates-Diop,SAS,F,2.03,103.9,kg,3,États-Unis
Nicolas Batum,LAC,G-F,2.03,104.3,kg,13,France
Kent Bazemore,LAL,G-F,1.93,88.5,kg,9,États-Unis
Darius Bazley,OKC,F,2.03,94.3,kg,2,États-Unis
Bradley Beal,WAS,G,1.93,93.9,kg,9,États-Unis
Malik Beasley,MIN,G,1.93,84.8,kg,5,États-Unis
DeAndre' Bembry,BKN,G-F,1.96,95.3,kg,5,États-Unis
Davis Bertans,WAS,F,2.08,102.1,kg,5,Lettonie
Patrick Beverley,MIN,G,1.85,81.6,kg,9,États-Unis
Saddiq Bey,DET,F,2.01,97.5,kg,1,États-Unis
Khem Birch,TOR,C,2.06,105.7,kg,4,Canada
Goga Bitadze,IND,C-F,2.13,113.4,kg,2,Géorgie
Nemanja Bjelica,GSW,F,2.06,106.1,kg,6,Serbie
Eric Bledsoe,LAC,G,1.85,97.1,kg,11,États-Unis
Keljin Blevins,POR,G,1.93,90.7,kg,1,États-Unis
Bogdan Bogdanovic,ATL,G,1.98,102.1,kg,4,Serbie
Bojan Bogdanovic,UTA,F,2.01,102.5,kg,7,Croatie
Bol Bol,DEN,C-F,2.18,99.8,kg,2,Soudan
Leandro Bolmaro,MIN,F,1.98,90.7,kg,0,Argentine
Isaac Bonga,TOR,G,2.03,81.6,kg,3,Allemagne
Devin Booker,PHX,G,1.96,93.4,kg,6,États-Unis
Brandon BostonJr.,LAC,G,1.98,85.3,kg,0,États-Unis
Chris Boucher,TOR,F-C,2.06,90.7,kg,4,Saint_Lucia
James Bouknight,CHA,G,1.93,86.2,kg,0,États-Unis
Avery Bradley,LAL,G,1.90,81.6,kg,11,États-Unis
Tony Bradley,CHI,C-F,2.08,112.5,kg,4,États-Unis
Ignas Brazdeikis,ORL,F,1.98,100.2,kg,2,Canada
Mikal Bridges,PHX,F,1.98,94.8,kg,3,États-Unis
Miles Bridges,CHA,F,2.01,102.1,kg,3,États-Unis
Oshae Brissett,IND,F-G,2.01,95.3,kg,2,Canada
Malcolm Brogdon,IND,G,1.96,103.9,kg,5,États-Unis
Armoni Brooks,HOU,G,1.90,88.5,kg,1,États-Unis
Dillon Brooks,MEM,G-F,2.01,102.1,kg,4,Canada
Bruce Brown,BKN,G-F,1.93,91.6,kg,3,États-Unis
Jaylen Brown,BOS,G-F,1.98,101.2,kg,5,États-Unis
Moses Brown,DAL,C,2.18,111.1,kg,2,États-Unis
Sterling Brown,DAL,G-F,1.96,99.3,kg,4,États-Unis
Greg BrownIII,POR,F,2.01,93.4,kg,0,États-Unis
Chaundee BrownJr.,LAL,F,1.96,97.5,kg,0,États-Unis
Devontae Cacok,SAS,F,2.01,108.9,kg,2,États-Unis
Kentavious Caldwell-Pope,WAS,G,1.96,92.5,kg,8,États-Unis
Facundo Campazzo,DEN,G,1.78,88.5,kg,1,Argentine
Vlatko Cancar,DEN,F,2.03,107.0,kg,2,Slovénie
Clint Capela,ATL,C,2.08,116.1,kg,7,Suisse
Vernon CareyJr.,CHA,F-C,2.06,122.5,kg,1,États-Unis
Jevon Carter,BKN,G,1.85,90.7,kg,3,États-Unis
Wendell CarterJr.,ORL,C-F,2.08,122.5,kg,3,États-Unis
Michael Carter-Williams,ORL,G,1.96,86.2,kg,8,États-Unis
Alex Caruso,CHI,G,1.96,84.4,kg,4,États-Unis
Willie CauleyStein,DAL,C,2.13,108.9,kg,6,États-Unis
Justin Champagnie,TOR,G-F,1.98,93.4,kg,0,États-Unis
Chris Chiozza,GSW,G,1.80,79.4,kg,3,États-Unis
Josh Christopher,HOU,G,1.90,97.5,kg,0,États-Unis
Brandon Clarke,MEM,F,2.03,97.5,kg,2,Canada
Jordan Clarkson,UTA,G,1.93,88.0,kg,7,États-Unis
Nic Claxton,BKN,F-C,2.11,97.5,kg,2,États-Unis
Amir Coffey,LAC,G-F,2.01,95.3,kg,2,États-Unis
John Collins,ATL,F-C,2.06,102.5,kg,4,États-Unis
Zach Collins,SAS,F-C,2.11,113.4,kg,3,États-Unis
Mike Conley,UTA,G,1.85,79.4,kg,14,États-Unis
Pat Connaughton,MIL,G,1.96,94.8,kg,6,États-Unis
Tyler Cook,CHI,F,2.03,115.7,kg,2,États-Unis
Sharife Cooper,ATL,G,1.85,79.8,kg,0,États-Unis
Petr Cornelie,DEN,F,2.11,99.8,kg,0,France
DeMarcus Cousins,MIL,C,2.08,122.5,kg,10,États-Unis
Robert Covington,POR,F,2.01,94.8,kg,8,États-Unis
Torrey Craig,IND,F,2.01,100.2,kg,4,États-Unis
Jae Crowder,PHX,F,1.98,106.6,kg,9,États-Unis
Jarrett Culver,MEM,G-F,1.98,88.5,kg,2,États-Unis
Cade Cunningham,DET,G,1.98,99.8,kg,0,États-Unis
Seth Curry,PHI,G,1.88,83.9,kg,7,États-Unis
Stephen Curry,GSW,G,1.88,83.9,kg,12,États-Unis
Anthony Davis,LAL,F-C,2.08,114.8,kg,9,États-Unis
Ed Davis,CLE,C-F,2.06,98.9,kg,11,États-Unis
Terence Davis,SAC,G,1.93,91.2,kg,2,États-Unis
DeMar DeRozan,CHI,G-F,1.98,99.8,kg,12,États-Unis
Gabriel Deck,OKC,F,1.98,104.8,kg,1,Argentine
Dewayne Dedmon,MIA,C,2.13,111.1,kg,8,États-Unis
Donte DiVincenzo,MIL,G,1.93,92.1,kg,3,États-Unis
Hamidou Diallo,DET,G,1.96,91.6,kg,3,États-Unis
Gorgui Dieng,ATL,C,2.08,112.5,kg,8,Sénégal
Spencer Dinwiddie,WAS,G,1.98,97.5,kg,7,États-Unis
Luka Doncic,DAL,F-G,2.01,104.3,kg,3,Slovénie
Luguentz Dort,OKC,G,1.90,97.5,kg,2,Canada
Ayo Dosunmu,CHI,G,1.93,90.7,kg,0,États-Unis
Devon Dotson,CHI,G,1.85,83.9,kg,1,États-Unis
Jeff Dowtin,GSW,G,1.90,80.3,kg,0,États-Unis
P.J. Dozier,DEN,G-F,1.98,93.0,kg,4,États-Unis
Goran Dragic,TOR,G,1.90,86.2,kg,13,Slovénie
Andre Drummond,PHI,C,2.08,126.6,kg,9,États-Unis
Chris Duarte,IND,G,1.96,86.2,kg,0,République_dominicaine
David DukeJr.,BKN,G,1.93,92.5,kg,0,États-Unis
Kevin Durant,BKN,F,2.08,108.9,kg,13,États-Unis
Anthony Edwards,MIN,G,1.93,102.1,kg,1,États-Unis
Kessler Edwards,BKN,F,2.01,92.1,kg,0,États-Unis
CJ Elleby,POR,F-G,1.98,90.7,kg,1,États-Unis
Wayne Ellington,LAL,G,1.93,93.9,kg,12,États-Unis
Joel Embiid,PHI,C-F,2.13,127.0,kg,5,Cameroun
Drew Eubanks,SAS,F-C,2.06,111.1,kg,3,États-Unis
Tacko Fall,CLE,C,2.29,141.1,kg,2,Sénégal
Derrick Favors,OKC,F,2.06,120.2,kg,11,États-Unis
Bruno Fernando,BOS,F-C,2.06,108.9,kg,2,Angola
Dorian Finney-Smith,DAL,F,2.01,99.8,kg,5,États-Unis
Malik Fitts,UTA,F,1.96,104.3,kg,1,États-Unis
Malachi Flynn,TOR,G,1.85,79.4,kg,1,États-Unis
Bryn Forbes,SAS,G,1.88,93.0,kg,5,États-Unis
Trent Forrest,UTA,G,1.93,95.3,kg,1,États-Unis
Evan Fournier,NYK,G-F,1.98,93.0,kg,9,France
De'Aaron Fox,SAC,G,1.90,83.9,kg,4,États-Unis
Enes Freedom,BOS,C,2.08,113.4,kg,10,Turquie
Markelle Fultz,ORL,G,1.93,94.8,kg,4,États-Unis
Daniel Gafford,WAS,F-C,2.06,106.1,kg,2,États-Unis
Danilo Gallinari,ATL,F,2.08,107.0,kg,12,Italie
Darius Garland,CLE,G,1.85,87.1,kg,2,États-Unis
Marcus Garrett,MIA,G,1.96,93.0,kg,0,États-Unis
Usman Garuba,HOU,F,2.03,103.9,kg,0,Espagne
Luka Garza,DET,C,2.08,110.2,kg,0,États-Unis
Rudy Gay,UTA,F-G,2.03,113.4,kg,15,États-Unis
Paul George,LAC,F,2.03,99.8,kg,11,États-Unis
Taj Gibson,NYK,F,2.06,105.2,kg,12,États-Unis
Josh Giddey,OKC,G,2.03,93.0,kg,0,Australie
Shai Gilgeous-Alexander,OKC,G,1.98,81.6,kg,3,Canada
Anthony Gill,WAS,F,2.01,104.3,kg,1,États-Unis
Rudy Gobert,UTA,C,2.16,117.0,kg,8,France
Aaron Gordon,DEN,F,2.03,106.6,kg,7,États-Unis
Eric Gordon,HOU,G,1.90,97.5,kg,13,États-Unis
Devonte' Graham,NOP,G,1.85,88.5,kg,3,États-Unis
Jerami Grant,DET,F,2.03,95.3,kg,7,États-Unis
Danny Green,PHI,G,1.98,97.5,kg,12,États-Unis
Draymond Green,GSW,F,1.98,104.3,kg,9,États-Unis
JaMychal Green,DEN,F-C,2.03,103.0,kg,7,États-Unis
Jalen Green,HOU,G,1.93,84.4,kg,0,États-Unis
Javonte Green,CHI,G-F,1.96,93.0,kg,2,États-Unis
Jeff Green,DEN,F,2.03,106.6,kg,13,États-Unis
Josh Green,DAL,G,1.96,90.7,kg,1,Australie
Blake Griffin,BKN,F,2.06,113.4,kg,11,États-Unis
Quentin Grimes,NYK,G,1.93,95.3,kg,0,États-Unis
Rui Hachimura,WAS,F,2.03,104.3,kg,2,Japan
Tyrese Haliburton,SAC,G,1.96,83.9,kg,1,États-Unis
R.J. Hampton,ORL,G,1.93,79.4,kg,1,États-Unis
Tim HardawayJr.,DAL,G-F,1.96,93.0,kg,8,États-Unis
James Harden,BKN,G,1.96,99.8,kg,12,États-Unis
Maurice Harkless,SAC,F-G,2.01,99.8,kg,9,États-Unis
Montrezl Harrell,WAS,F-C,2.01,108.9,kg,6,États-Unis
Gary Harris,ORL,G,1.93,95.3,kg,7,États-Unis
Joe Harris,BKN,G-F,1.98,99.8,kg,7,États-Unis
Tobias Harris,PHI,F,2.01,102.5,kg,10,États-Unis
Josh Hart,NOP,G,1.96,97.5,kg,4,États-Unis
Isaiah Hartenstein,LAC,C-F,2.13,113.4,kg,3,Allemagne
Udonis Haslem,MIA,F,2.03,106.6,kg,18,États-Unis
Sam Hauser,BOS,F,2.01,98.4,kg,0,États-Unis
Jaxson Hayes,NOP,C-F,2.11,99.8,kg,2,États-Unis
Killian Hayes,DET,G,1.96,88.5,kg,1,France
Gordon Hayward,CHA,F,2.01,102.1,kg,11,États-Unis
Aaron Henry,PHI,F,1.96,95.3,kg,0,États-Unis
Juancho Hernangomez,BOS,F,2.06,97.1,kg,5,Espagne
Willy Hernangomez,NOP,C-F,2.11,113.4,kg,5,Espagne
Tyler Herro,MIA,G,1.96,88.5,kg,2,États-Unis
Buddy Hield,SAC,G,1.93,99.8,kg,5,Bahamas
George Hill,MIL,G,1.93,85.3,kg,13,États-Unis
Solomon Hill,ATL,F,1.98,102.5,kg,8,États-Unis
Aaron Holiday,WAS,G,1.83,83.9,kg,3,États-Unis
Jrue Holiday,MIL,G,1.90,93.0,kg,12,États-Unis
Justin Holiday,IND,F-G,1.98,81.6,kg,8,États-Unis
Richaun Holmes,SAC,F,2.08,106.6,kg,6,États-Unis
Daulton Hommes,NOP,F,2.03,97.5,kg,0,États-Unis
Rodney Hood,MIL,G-F,2.03,94.3,kg,7,États-Unis
Al Horford,BOS,C-F,2.06,108.9,kg,14,République_dominicaine
Talen Horton-Tucker,LAL,G,1.93,106.1,kg,2,États-Unis
Danuel HouseJr.,HOU,F-G,1.98,99.8,kg,5,États-Unis
Dwight Howard,LAL,C-F,2.08,120.2,kg,17,États-Unis
Markus Howard,DEN,G,1.78,79.4,kg,1,États-Unis
Kevin Huerter,ATL,G-F,2.01,89.8,kg,3,États-Unis
Jay Huff,LAL,F,2.16,108.9,kg,0,États-Unis
Elijah Hughes,UTA,G,1.96,97.5,kg,1,États-Unis
De'Andre Hunter,ATL,F-G,2.03,100.2,kg,2,États-Unis
Chandler Hutchison,PHX,F-G,1.98,95.3,kg,3,États-Unis
Bones Hyland,DEN,G,1.88,76.7,kg,0,États-Unis
Serge Ibaka,LAC,F,2.08,106.6,kg,12,Republic_of_the_Congo
Andre Iguodala,GSW,G-F,1.98,97.5,kg,17,États-Unis
Joe Ingles,UTA,F-G,2.03,99.8,kg,7,Australie
Brandon Ingram,NOP,F,2.03,86.2,kg,5,États-Unis
Kyrie Irving,BKN,G,1.88,88.5,kg,10,Australie
Jonathan Isaac,ORL,F,2.08,104.3,kg,3,États-Unis
Frank Jackson,DET,G,1.90,93.0,kg,3,États-Unis
Isaiah Jackson,IND,F,2.08,93.0,kg,0,États-Unis
Josh Jackson,DET,G-F,2.03,93.9,kg,4,États-Unis
Reggie Jackson,LAC,G,1.88,94.3,kg,10,États-Unis
Jaren JacksonJr.,MEM,F-C,2.11,109.8,kg,3,États-Unis
LeBron James,LAL,F,2.06,113.4,kg,18,États-Unis
DeJon Jarreau,IND,G,1.96,83.9,kg,0,États-Unis
Ty Jerome,OKC,G-F,1.96,88.5,kg,2,États-Unis
Isaiah Joe,PHI,G,1.93,74.8,kg,1,États-Unis
Alize Johnson,CHI,F,2.03,96.2,kg,3,États-Unis
Cameron Johnson,PHX,F,2.03,95.3,kg,2,États-Unis
David Johnson,TOR,G,1.93,92.1,kg,0,États-Unis
Jalen Johnson,ATL,F,2.03,99.3,kg,0,États-Unis
James Johnson,BKN,F,2.01,108.9,kg,12,États-Unis
Keldon Johnson,SAS,F-G,1.98,99.8,kg,2,États-Unis
Keon Johnson,LAC,G,1.93,83.9,kg,0,États-Unis
Nikola Jokic,DEN,C,2.11,128.8,kg,6,Serbie
Damian Jones,SAC,C,2.11,111.1,kg,5,États-Unis
Herbert Jones,NOP,F,2.01,93.4,kg,0,États-Unis
Kai Jones,CHA,C-F,2.08,100.2,kg,0,Bahamas
Tre Jones,SAS,G,1.85,83.9,kg,1,États-Unis
Tyus Jones,MEM,G,1.83,88.9,kg,6,États-Unis
Derrick JonesJr.,CHI,F,1.98,95.3,kg,5,États-Unis
DeAndre Jordan,LAL,C,2.11,120.2,kg,13,États-Unis
Cory Joseph,DET,G,1.90,90.7,kg,10,Canada
Georgios Kalaitzakis,MIL,F,2.01,87.1,kg,0,Grèce
Frank Kaminsky,PHX,F-C,2.13,108.9,kg,6,États-Unis
Luke Kennard,LAC,G,1.96,93.4,kg,4,États-Unis
Louis King,SAC,F,2.01,93.0,kg,2,États-Unis
Corey Kispert,WAS,F,1.98,101.6,kg,0,États-Unis
Maxi Kleber,DAL,F,2.08,108.9,kg,4,Allemagne
