,PLAYER,TEAM,AGE,GP,W,L,MIN,"%FGA
2PT","%FGA
3PT","%PTS
2PT","%PTS
2PT MR","%PTS
3PT","%PTS
FBPS","%PTS
FT","%PTS
OFFTO","%PTS
PITP","2FGM
%AST","2FGM
%UAST","3FGM
%AST","3FGM
%UAST","FGM
%AST","FGM
%UAST"
0,Domantas Sabonis,IND,25,24,9,15,33.9,77.1,22.9,68.1,1.0,13.6,4.0,18.3,8.6,67.1,60.1,39.9,100,0.0,64.8,35.2
1,Gordon Hayward,CHA,31,24,13,11,33.8,66.5,33.5,49.8,10.1,31.2,18.4,19.0,17.6,39.6,51.5,48.5,88.4,11.6,62.3,37.7
2,Jonas Valanciunas,NOP,29,24,6,18,31.3,81.8,18.2,62.5,6.7,20.0,3.5,17.5,10.9,55.9,61.0,39.0,100,0.0,67.8,32.2
3,Kelly Oubre Jr.,CHA,25,24,13,11,27.3,43.7,56.3,39.2,3.3,52.3,13.1,8.5,11.4,36.0,58.3,41.7,96.9,3.1,76.5,23.5
4,LaMelo Ball,CHA,20,24,13,11,33.3,57.0,43.0,43.2,7.9,43.7,11.0,13.1,18.1,35.3,17.3,82.7,67.1,32.9,37.4,62.6
5,Miles Bridges,CHA,23,24,13,11,36.2,58.5,41.5,52.4,1.7,32.7,11.7,14.9,15.5,50.7,62.4,37.6,84.6,15.4,68.9,31.1
6,Nickeil Alexander-Walker,NOP,23,24,6,18,28.9,50.4,49.6,44.4,6.0,44.1,9.6,11.5,19.5,38.4,47.3,52.7,93.9,6.1,65.9,34.1
7,T.J. McConnell,IND,29,24,9,15,24.2,86.2,13.8,83.6,12.9,10.4,5.0,6.0,12.4,70.6,26.2,73.8,100,0.0,31.9,68.1
8,Torrey Craig,IND,30,24,9,15,16.2,52.4,47.6,56.3,3.0,31.1,19.3,12.6,11.9,53.3,55.3,44.7,92.9,7.1,65.4,34.6
9,Buddy Hield,SAC,28,23,9,14,29.1,27.1,72.9,21.0,6.5,69.4,16.9,9.6,16.4,14.5,38.5,61.5,82.6,17.4,68.8,31.2
10,CJ McCollum,POR,30,23,11,12,35.4,56.5,43.5,46.4,14.5,47.2,9.1,6.4,11.3,31.9,24.8,75.2,64.9,35.1,41.0,59.0
11,Carmelo Anthony,LAL,37,23,12,11,28.7,43.6,56.4,30.9,15.2,55.5,16.4,13.6,18.2,15.8,52.9,47.1,93.4,6.6,75.0,25.0
12,Dalano Banton,TOR,22,23,10,13,13.0,80.5,19.5,68.0,7.8,14.6,10.7,17.4,15.5,60.2,28.6,71.4,80.0,20.0,35.0,65.0
13,Davion Mitchell,SAC,23,23,9,14,25.5,58.4,41.6,54.6,11.1,37.5,7.9,7.9,13.4,43.5,18.6,81.4,55.6,44.4,30.2,69.8
14,De'Aaron Fox,SAC,23,23,9,14,34.8,75.1,24.9,62.2,14.2,17.4,10.1,20.4,13.7,48.1,20.0,80.0,63.0,37.0,26.7,73.3
15,DeMar DeRozan,CHI,32,23,15,8,35.1,86.6,13.4,64.6,28.5,9.4,8.6,26.0,16.7,36.1,24.1,75.9,94.7,5.3,30.4,69.6
16,Franz Wagner,ORL,20,23,5,18,31.6,67.4,32.6,56.3,2.6,31.1,14.9,12.6,18.1,53.7,50.6,49.4,93.8,6.3,62.2,37.8
17,Grayson Allen,MIL,26,23,14,9,29.0,28.7,71.3,22.7,3.8,68.1,10.1,9.2,17.4,18.9,50.0,50.0,94.4,5.6,79.6,20.4
18,Javonte Green,CHI,28,23,15,8,20.6,73.2,26.8,61.3,0.0,24.2,26.6,14.5,26.6,61.3,65.8,34.2,100,0.0,72.9,27.1
19,Justin Holiday,IND,32,23,9,14,28.1,25.2,74.8,23.8,11.5,72.7,13.7,3.5,13.7,12.3,88.9,11.1,94.5,5.5,92.7,7.3
20,Jusuf Nurkic,POR,27,23,11,12,24.7,91.0,9.0,74.1,2.1,4.2,3.5,21.7,11.2,72.0,73.6,26.4,100,0.0,74.5,25.5
21,Larry Nance Jr.,POR,28,23,11,12,19.5,67.9,32.1,65.7,4.2,23.1,3.5,11.2,20.3,61.5,70.2,29.8,100,0.0,75.9,24.1
22,Lonzo Ball,CHI,24,23,15,8,34.7,35.9,64.1,24.7,2.8,73.1,21.6,2.2,15.2,21.9,40.0,60.0,81.2,18.8,67.3,32.7
23,Malik Monk,LAL,23,23,12,11,24.2,41.7,58.3,40.4,2.6,51.3,15.4,8.3,15.4,37.7,60.9,39.1,82.1,17.9,70.6,29.4
24,Myles Turner,IND,25,23,9,14,28.7,47.2,52.8,42.9,2.8,43.6,9.3,13.5,11.8,40.1,72.6,27.4,100,0.0,83.7,16.3
25,Pat Connaughton,MIL,28,23,14,9,28.8,28.7,71.3,29.3,1.5,64.8,12.1,5.9,14.3,27.8,75.0,25.0,91.5,8.5,84.8,15.2
26,R.J. Hampton,ORL,20,23,5,18,18.6,59.2,40.8,42.1,2.3,42.1,19.3,15.8,17.0,39.8,27.8,72.2,83.3,16.7,50.0,50.0
27,Robert Covington,POR,30,23,11,12,26.5,23.5,76.5,22.1,0.0,76.0,9.1,1.9,7.8,22.1,82.4,17.6,100,0.0,94.6,5.4
28,Russell Westbrook,LAL,33,23,12,11,36.2,74.6,25.4,61.3,16.4,19.5,13.2,19.2,12.4,45.0,19.9,80.1,64.5,35.5,27.7,72.3
29,Svi Mykhailiuk,TOR,24,23,10,13,18.8,43.6,56.4,42.2,6.0,47.0,22.9,10.8,22.9,36.1,45.7,54.3,92.3,7.7,65.6,34.4
30,Trey Murphy III,NOP,21,23,5,18,15.1,26.5,73.5,16.2,0.0,75.7,18.0,8.1,19.8,16.2,44.4,55.6,92.9,7.1,81.1,18.9
31,Wendell Carter Jr.,ORL,22,23,5,18,28.7,60.6,39.4,57.0,7.9,32.5,6.2,10.5,12.8,49.2,56.3,43.7,100,0.0,68.3,31.7
32,Zach LaVine,CHI,26,23,15,8,34.7,61.5,38.5,51.0,15.1,33.9,13.5,15.1,20.4,36.0,36.9,63.1,60.6,39.4,44.2,55.8
33,Alec Burks,NYK,30,22,11,11,24.0,43.0,57.0,25.6,6.4,55.2,6.4,19.2,18.8,19.2,34.4,65.6,69.6,30.4,55.1,44.9
34,Aleksej Pokusevski,OKC,19,22,6,16,14.7,56.5,43.5,65.3,17.8,29.7,15.8,5.0,20.8,47.5,45.5,54.5,80.0,20.0,53.5,46.5
35,Alex Caruso,CHI,27,22,15,7,29.5,54.5,45.5,44.4,3.2,33.3,8.5,22.3,20.6,41.3,59.5,40.5,95.2,4.8,71.4,28.6
36,Anfernee Simons,POR,22,22,11,11,23.0,45.9,54.1,41.8,14.4,51.3,7.2,6.9,11.8,27.4,25.5,74.5,71.1,28.9,46.0,54.0
37,Anthony Davis,LAL,28,22,11,11,35.7,88.8,11.2,76.4,16.1,5.1,9.0,18.5,17.8,60.3,58.3,41.7,88.9,11.1,59.6,40.4
38,Anthony Edwards,MIN,20,22,11,11,36.4,54.4,45.6,46.4,4.5,41.3,20.3,12.3,21.6,41.9,38.1,61.9,61.2,38.8,46.7,53.3
39,Ayo Dosunmu,CHI,21,22,14,8,15.8,64.5,35.5,55.3,6.5,39.0,16.3,5.7,21.1,48.8,61.8,38.2,100,0.0,74.0,26.0
40,Cameron Johnson,PHX,25,22,19,3,22.6,37.3,62.7,28.6,1.0,63.5,18.7,7.9,17.2,27.6,65.5,34.5,100,0.0,86.1,13.9
41,Chris Duarte,IND,24,22,9,13,29.5,56.0,44.0,49.5,18.8,44.9,20.9,5.6,16.4,30.7,46.5,53.5,76.7,23.3,57.9,42.1
42,Chris Paul,PHX,36,22,19,3,32.3,71.8,28.2,56.2,32.2,21.8,6.0,22.0,11.7,24.0,6.7,93.3,30.4,69.6,11.6,88.4
43,Clint Capela,ATL,27,22,12,10,29.8,99.5,0.5,90.1,0.8,0.0,6.5,9.9,10.7,89.3,74.6,25.4,0.0,0.0,74.6,25.4
44,Cody Martin,CHA,26,22,13,9,24.6,67.7,32.3,49.7,5.9,35.5,18.3,14.8,28.4,43.8,66.7,33.3,85.0,15.0,72.6,27.4
45,Cody Zeller,POR,29,22,11,11,13.0,93.4,6.6,68.5,0.0,0.0,11.1,31.5,11.1,68.5,73.0,27.0,0.0,0.0,73.0,27.0
46,Cory Joseph,DET,30,22,4,18,21.5,66.1,33.9,51.4,5.6,25.0,8.3,23.6,20.1,45.8,43.2,56.8,91.7,8.3,55.1,44.9
47,Darius Bazley,OKC,21,22,6,16,27.3,60.2,39.8,51.3,1.1,35.3,8.0,13.4,12.8,50.3,52.1,47.9,95.5,4.5,65.7,34.3
48,Deni Avdija,WAS,20,22,14,8,21.7,53.0,47.0,49.3,1.5,35.8,11.9,14.9,12.7,47.8,66.7,33.3,100,0.0,77.6,22.4
49,Desmond Bane,MEM,23,22,12,10,28.4,49.1,50.9,43.9,13.1,49.0,16.0,7.1,16.9,30.9,62.2,37.8,90.9,9.1,74.4,25.6
50,Dewayne Dedmon,MIA,32,22,13,9,14.7,90.2,9.8,67.2,4.9,9.8,5.7,23.0,15.6,62.3,70.7,29.3,100,0.0,73.3,26.7
51,Duncan Robinson,MIA,27,22,13,9,28.5,13.5,86.5,14.9,0.9,82.9,11.0,2.2,17.1,14.0,88.2,11.8,95.2,4.8,93.8,6.3
52,Eric Bledsoe,LAC,31,22,11,11,27.9,64.2,35.8,56.5,9.3,26.4,15.3,17.1,18.5,47.2,34.4,65.6,94.7,5.3,48.8,51.3
53,Evan Fournier,NYK,29,22,11,11,28.6,41.9,58.1,32.3,6.9,59.8,12.7,7.9,8.6,25.4,55.3,44.7,94.8,5.2,77.1,22.9
54,Frank Jackson,DET,23,22,4,18,21.4,35.5,64.5,34.9,6.6,50.9,14.2,14.2,15.1,28.3,62.2,37.8,91.7,8.3,76.7,23.3
55,Fred VanVleet,TOR,27,22,10,12,38.3,50.1,49.9,39.9,14.8,47.1,9.9,13.0,11.4,25.1,19.1,80.9,60.0,40.0,37.1,62.9
56,Garrett Temple,NOP,35,22,6,16,18.3,41.0,59.0,30.6,6.5,55.6,15.3,13.8,12.9,24.2,57.9,42.1,95.7,4.3,78.6,21.4
57,George Hill,MIL,35,22,14,8,27.3,51.4,48.6,45.9,5.9,38.8,10.0,15.3,22.9,40.0,51.3,48.7,100,0.0,68.9,31.1
58,Georges Niang,PHI,28,22,11,11,24.7,39.8,60.2,33.9,3.2,55.6,8.9,10.5,12.9,30.6,64.3,35.7,95.7,4.3,80.7,19.3
59,Grant Williams,BOS,23,22,12,10,21.2,32.1,67.9,29.4,1.2,58.9,9.2,11.7,14.1,28.2,79.2,20.8,100,0.0,91.1,8.9
60,Immanuel Quickley,NYK,22,22,11,11,20.8,39.2,60.8,29.1,5.6,54.9,15.0,16.0,16.0,23.5,38.7,61.3,53.8,46.2,47.1,52.9
61,Ivica Zubac,LAC,24,22,11,11,24.4,100,0.0,75.7,0.9,0.0,5.9,24.3,7.7,74.8,81.0,19.0,0.0,0.0,81.0,19.0
62,JaVale McGee,PHX,33,22,19,3,15.9,100,0.0,87.4,4.5,0.0,3.6,12.6,9.5,82.9,69.1,30.9,0.0,0.0,69.1,30.9
63,Jae Crowder,PHX,31,22,19,3,27.7,31.4,68.6,26.0,8.3,62.5,7.3,11.5,15.6,17.7,84.0,16.0,95.0,5.0,90.8,9.2
64,Jalen McDaniels,CHA,23,22,12,10,15.1,45.0,55.0,36.7,0.0,50.0,10.0,13.3,12.5,36.7,63.6,36.4,100,0.0,81.0,19.0
65,Jaren Jackson Jr.,MEM,22,22,12,10,26.6,52.1,47.9,39.3,1.1,42.7,7.4,18.0,13.1,38.2,65.2,34.8,98.0,2.0,79.0,21.0
66,Jayson Tatum,BOS,23,22,12,10,36.6,61.3,38.7,48.9,15.3,33.0,10.3,18.1,12.3,33.6,39.7,60.3,52.5,47.5,43.7,56.3
67,Jeremiah Robinson-Earl,OKC,21,22,6,16,22.1,51.1,48.9,46.5,5.2,46.5,5.2,7.0,16.1,41.3,83.3,16.7,100,0.0,90.0,10.0
68,John Collins,ATL,24,22,12,10,32.2,75.7,24.3,64.6,6.6,19.9,4.4,15.5,12.2,58.0,76.1,23.9,100,0.0,80.1,19.9
69,Julius Randle,NYK,27,22,11,11,35.4,69.3,30.7,56.2,12.8,25.3,6.4,18.5,12.6,43.4,31.7,68.3,83.8,16.2,43.8,56.3
70,Karl-Anthony Towns,MIN,26,22,11,11,34.3,65.1,34.9,49.7,3.8,32.4,5.1,17.9,17.1,45.9,51.9,48.1,87.7,12.3,62.8,37.2
71,Kentavious Caldwell-Pope,WAS,28,22,14,8,29.4,40.8,59.2,32.5,13.0,56.1,13.8,11.4,12.2,19.5,60.0,40.0,93.5,6.5,77.9,22.1
72,Kyle Kuzma,WAS,26,22,14,8,32.8,49.2,50.8,42.5,5.6,47.0,7.0,10.5,15.7,36.9,52.5,47.5,91.1,8.9,68.9,31.1
73,Luke Kennard,LAC,25,22,11,11,27.8,32.1,67.9,22.7,5.5,72.3,15.9,5.0,15.0,17.3,68.0,32.0,96.2,3.8,87.2,12.8
74,Malik Beasley,MIN,25,22,11,11,25.4,25.4,74.6,20.4,3.6,73.3,11.6,6.3,20.4,16.9,60.9,39.1,89.1,10.9,80.8,19.2
75,Mikal Bridges,PHX,25,22,19,3,34.8,65.4,34.6,61.2,6.5,31.3,22.7,7.5,19.4,54.7,78.8,21.2,100,0.0,84.2,15.8
76,Mo Bamba,ORL,23,22,5,17,29.8,56.0,44.0,54.5,4.3,38.3,4.3,7.2,12.3,50.2,54.7,45.3,96.7,3.3,68.1,31.9
77,Montrezl Harrell,WAS,27,22,14,8,26.7,96.7,3.3,74.3,2.7,1.6,9.6,24.1,6.3,71.6,63.2,36.8,100,0.0,63.8,36.2
78,Obi Toppin,NYK,23,22,11,11,15.3,73.6,26.4,71.5,0.0,10.1,19.6,18.4,21.8,71.5,84.4,15.6,100,0.0,85.7,14.3
79,P.J. Tucker,MIA,36,22,13,9,27.8,50.4,49.6,44.0,4.0,50.0,2.0,6.0,16.0,40.0,81.8,18.2,100,0.0,89.7,10.3
80,Reggie Jackson,LAC,31,22,11,11,33.3,48.8,51.2,43.0,7.9,48.8,10.5,8.2,16.5,35.2,25.6,74.4,61.3,38.7,41.0,59.0
81,Ricky Rubio,CLE,31,22,12,10,29.2,56.1,43.9,37.5,9.9,42.4,5.6,20.1,9.5,27.6,29.8,70.2,58.1,41.9,42.0,58.0
82,Saddiq Bey,DET,22,22,4,18,32.1,52.3,47.7,45.0,5.9,43.2,12.5,11.8,19.9,39.1,41.0,59.0,74.4,25.6,54.0,46.0
83,Steven Adams,MEM,28,22,12,10,24.2,100,0.0,73.6,0.0,0.0,0.0,26.4,9.7,73.6,49.1,50.9,0.0,0.0,49.1,50.9
84,Terrence Ross,ORL,30,22,5,17,24.8,49.5,50.5,42.5,20.8,41.0,2.4,16.5,14.2,21.7,66.7,33.3,75.9,24.1,70.3,29.7
85,Trae Young,ATL,23,22,12,10,33.9,65.3,34.7,50.2,17.3,30.6,8.0,19.2,14.2,32.9,11.7,88.3,20.3,79.7,14.2,85.8
86,Trey Lyles,DET,26,22,4,18,16.0,53.0,47.0,45.0,2.4,32.0,8.3,23.0,24.3,42.6,47.4,52.6,100,0.0,64.3,35.7
87,Tyrese Maxey,PHI,21,22,11,11,35.6,76.9,23.1,61.3,13.5,20.3,14.8,18.4,14.8,47.8,33.1,66.9,57.7,42.3,37.5,62.5
88,Tyus Jones,MEM,25,22,12,10,17.1,61.7,38.3,51.1,5.8,41.6,18.2,7.3,11.7,45.3,31.4,68.6,78.9,21.1,48.1,51.9
89,Aaron Gordon,DEN,26,21,10,11,32.1,72.1,27.9,63.1,6.8,21.4,14.2,15.5,19.0,56.3,58.1,41.9,85.7,14.3,63.2,36.8
90,Aaron Holiday,WAS,25,21,13,8,17.5,68.8,31.3,59.6,7.0,31.6,11.4,8.8,13.2,52.6,47.1,52.9,83.3,16.7,56.5,43.5
91,Andre Drummond,PHI,28,21,10,11,21.9,99.2,0.8,81.2,0.0,0.0,5.8,18.8,13.0,81.2,55.4,44.6,0.0,0.0,55.4,44.6
92,Andrew Wiggins,GSW,26,21,18,3,30.3,64.8,35.2,54.9,8.7,30.0,14.6,15.1,15.4,46.2,60.7,39.3,92.3,7.7,69.2,30.8
93,Avery Bradley,LAL,31,21,10,11,22.3,40.0,60.0,34.6,9.6,63.5,15.4,1.9,26.0,25.0,72.2,27.8,95.5,4.5,85.0,15.0
94,Bojan Bogdanovic,UTA,32,21,14,7,30.1,50.8,49.2,38.3,3.4,42.3,16.1,19.4,12.7,34.9,48.5,51.5,96.0,4.0,68.6,31.4
95,Cam Reddish,ATL,22,21,11,10,22.5,55.7,44.3,40.7,9.1,42.3,10.4,17.0,12.4,31.5,53.1,46.9,85.3,14.7,66.3,33.7
96,Chris Boucher,TOR,28,21,10,11,13.5,57.3,42.7,59.7,0.0,24.2,16.9,16.1,17.7,59.7,64.9,35.1,100,0.0,72.3,27.7
97,Christian Wood,HOU,26,21,5,16,31.6,65.9,34.1,57.1,3.0,28.6,7.1,14.3,8.9,54.2,60.4,39.6,75.0,25.0,64.1,35.9
98,Dennis Schroder,BOS,28,21,11,10,33.1,68.4,31.6,55.4,11.9,26.3,7.3,18.3,19.5,43.5,25.5,74.5,77.4,22.6,38.0,62.0
99,Devin Booker,PHX,25,21,18,3,32.2,68.4,31.6,53.3,24.2,30.7,15.0,16.0,17.0,29.1,37.7,62.3,68.0,32.0,46.1,53.9
100,Devonte' Graham,NOP,26,21,5,16,30.8,37.5,62.5,28.7,12.3,58.4,11.6,12.9,16.4,16.4,21.4,78.6,68.4,31.6,48.5,51.5
101,Furkan Korkmaz,PHI,24,21,10,11,23.7,39.5,60.5,34.2,4.1,56.0,13.5,9.8,15.0,30.1,42.4,57.6,77.8,22.2,60.9,39.1
102,Gary Trent Jr.,TOR,22,21,10,11,34.4,51.0,49.0,42.4,20.9,46.6,14.7,11.0,21.5,21.5,37.3,62.7,76.4,23.6,53.8,46.2
103,Giannis Antetokounmpo,MIL,26,21,14,7,32.7,77.5,22.5,62.8,8.6,12.4,14.1,24.8,11.6,54.1,36.3,63.7,37.5,62.5,36.4,63.6
104,Hassan Whiteside,UTA,32,21,14,7,15.4,100,0.0,79.5,0.0,0.0,0.0,20.5,11.6,79.5,62.1,37.9,0.0,0.0,62.1,37.9
105,Herbert Jones,NOP,23,21,6,15,26.1,84.9,15.1,75.4,3.1,11.5,18.5,13.1,20.0,72.3,65.3,34.7,100,0.0,68.5,31.5
106,Isaiah Hartenstein,LAC,23,21,11,10,15.7,97.0,3.0,81.3,0.0,3.9,5.2,14.8,12.9,81.3,74.6,25.4,50.0,50.0,73.8,26.2
107,Jae'Sean Tate,HOU,26,21,5,16,27.8,73.1,26.9,67.7,0.0,16.2,16.2,16.1,15.0,67.7,44.3,55.7,92.9,7.1,51.0,49.0
108,Jalen Suggs,ORL,20,21,4,17,27.7,60.3,39.7,47.3,4.7,30.2,16.7,22.5,14.0,42.6,36.1,63.9,61.5,38.5,43.7,56.3
109,James Harden,BKN,32,21,15,6,35.5,48.2,51.8,31.4,3.2,38.9,8.9,29.7,17.5,28.2,11.6,88.4,29.8,70.2,19.8,80.2
110,Jarred Vanderbilt,MIN,22,21,10,11,22.3,93.3,6.7,79.7,0.0,0.0,19.5,20.3,32.2,79.7,70.2,29.8,0.0,0.0,70.2,29.8
111,Jeff Green,DEN,35,21,10,11,23.9,63.1,36.9,51.7,5.0,25.4,12.4,22.9,14.9,46.8,67.3,32.7,100,0.0,75.4,24.6
112,Jerami Grant,DET,27,21,4,17,33.1,65.8,34.2,47.3,13.2,27.0,9.0,25.7,14.2,34.0,50.0,50.0,92.1,7.9,61.6,38.4
113,Jevon Carter,BKN,26,21,15,6,13.6,21.9,78.1,9.5,9.5,85.7,25.4,4.8,23.8,0.0,66.7,33.3,77.8,22.2,76.2,23.8
